100000000,9  	1
100000002,13  	1
100000002,4  	2
100000003,0  	1
100000003,3  	2
100000003,4  	1
100000003,5  	3
100000005,1  	1
100000007,3  	1
100000008,1  	1
100000008,16  	6
100000008,17  	2
100000008,18  	3
100000008,2  	1
100000008,20  	6
100000008,4  	2
100000008,5  	1
100000011,3  	2
100000011,6  	1
100000014,4  	3
100000016,0  	4
100000016,10  	2
100000016,11  	3
100000016,12  	6
100000016,13  	9
100000016,14  	1
100000016,15  	2
100000016,22  	1
100000016,23  	12
100000016,6  	1
100000016,8  	1
100000016,9  	1
100000017,5  	1
100000018,11  	1
100000018,16  	1
100000018,19  	1
100000018,2  	1
100000018,3  	1
100000019,3  	1
100000019,5  	2
100000022,17  	1
100000023,3  	1
100000025,3  	1
100000028,4  	1
100000030,12  	1
100000030,14  	2
100000030,16  	1
100000030,9  	1
100000031,3  	2
100000032,19  	1
100000032,4  	1
100000036,4  	1
100000039,14  	1
100000039,4  	2
100000044,5  	1
100000045,4  	1
100000046,3  	1
100000046,4  	2
100000046,5  	2
100000048,0  	3
100000048,1  	1
100000048,12  	1
100000048,14  	2
100000048,18  	3
100000048,19  	2
100000048,22  	4
100000048,23  	2
100000048,3  	1
100000048,4  	5
100000048,5  	3
100000048,6  	1
100000049,14  	1
100000050,4  	1
100000051,0  	2
100000051,1  	1
100000051,15  	1
100000051,17  	2
100000051,18  	1
100000051,20  	2
100000051,23  	5
100000051,3  	1
100000051,4  	2
100000051,5  	2
100000052,12  	1
100000053,6  	1
100000054,0  	2
100000054,1  	1
100000054,18  	3
100000054,19  	1
100000054,20  	3
100000054,22  	1
100000054,23  	1
100000054,3  	3
100000054,5  	1
100000055,17  	1
100000055,18  	1
100000055,4  	1
100000055,6  	1
100000056,12  	1
100000056,14  	1
100000056,16  	1
100000057,14  	1
100000057,17  	1
100000057,18  	1
100000057,19  	2
100000057,3  	2
100000057,4  	1
100000057,6  	3
100000057,7  	2
100000057,8  	5
100000058,16  	1
100000058,17  	3
100000058,3  	2
100000058,4  	3
100000059,17  	3
100000059,19  	2
100000059,22  	2
100000059,3  	2
100000059,5  	2
100000059,6  	3
100000060,4  	1
100000061,4  	3
100000061,5  	1
100000062,1  	2
100000062,12  	1
100000062,13  	3
100000062,15  	1
